bug_id,method,apfd,num_tests,num_triggering,dataset
1,Random,0.375,4,1,Lang
1,FailureHistory,0.625,4,1,Lang
1,ChangeFrequency,0.875,4,1,Lang
1,ComplexityOnly,0.875,4,1,Lang
1,Proposed,0.875,4,1,Lang
3,Random,0.125,4,1,Lang
3,FailureHistory,0.875,4,1,Lang
3,ChangeFrequency,0.875,4,1,Lang
3,ComplexityOnly,0.875,4,1,Lang
3,Proposed,0.875,4,1,Lang
4,Random,0.375,4,1,Lang
4,FailureHistory,0.125,4,1,Lang
4,ChangeFrequency,0.875,4,1,Lang
4,ComplexityOnly,0.875,4,1,Lang
4,Proposed,0.875,4,1,Lang
5,Random,0.5,1,1,Lang
5,FailureHistory,0.5,1,1,Lang
5,ChangeFrequency,0.5,1,1,Lang
5,ComplexityOnly,0.5,1,1,Lang
5,Proposed,0.5,1,1,Lang
6,Random,0.3888888888888889,9,1,Lang
6,FailureHistory,0.7222222222222223,9,1,Lang
6,ChangeFrequency,0.9444444444444444,9,1,Lang
6,ComplexityOnly,0.9444444444444444,9,1,Lang
6,Proposed,0.9444444444444444,9,1,Lang
7,Random,0.125,4,1,Lang
7,FailureHistory,0.875,4,1,Lang
7,ChangeFrequency,0.875,4,1,Lang
7,ComplexityOnly,0.875,4,1,Lang
7,Proposed,0.875,4,1,Lang
8,Random,0.6875,8,2,Lang
8,FailureHistory,0.125,8,2,Lang
8,ChangeFrequency,0.875,8,2,Lang
8,ComplexityOnly,0.875,8,2,Lang
8,Proposed,0.875,8,2,Lang
9,Random,0.5625,8,2,Lang
9,FailureHistory,0.125,8,2,Lang
9,ChangeFrequency,0.875,8,2,Lang
9,ComplexityOnly,0.875,8,2,Lang
9,Proposed,0.75,8,2,Lang
10,Random,0.6875,8,2,Lang
10,FailureHistory,0.875,8,2,Lang
10,ChangeFrequency,0.875,8,2,Lang
10,ComplexityOnly,0.875,8,2,Lang
10,Proposed,0.875,8,2,Lang
11,Random,0.5,1,1,Lang
11,FailureHistory,0.5,1,1,Lang
11,ChangeFrequency,0.5,1,1,Lang
11,ComplexityOnly,0.5,1,1,Lang
11,Proposed,0.5,1,1,Lang
1,Random,0.4047619047619047,21,2,Math
1,FailureHistory,0.6666666666666666,21,2,Math
1,ChangeFrequency,0.761904761904762,21,2,Math
1,ComplexityOnly,0.761904761904762,21,2,Math
1,Proposed,0.761904761904762,21,2,Math
2,Random,0.5,1,1,Math
2,FailureHistory,0.5,1,1,Math
2,ChangeFrequency,0.5,1,1,Math
2,ComplexityOnly,0.5,1,1,Math
2,Proposed,0.5,1,1,Math
3,Random,0.2993421052631578,152,1,Math
3,FailureHistory,0.0164473684210526,152,1,Math
3,ChangeFrequency,0.9967105263157896,152,1,Math
3,ComplexityOnly,0.9967105263157896,152,1,Math
