bug_id,revision_buggy,revision_fixed,report_id,report_url,project_id,modified_classes,relevant_tests,triggering_tests,triggering_test_classes,trigger_stack_classes,src_patch_total_changed,src_patch_total_hunks,src_patch_total_files
1,77add7946ea5bca622b1f4f654f97e62f6db1e95,27a52f90a25699bebe23ff1ff94d6db361fdb11d,23,https://github.com/jhy/jsoup/issues/23,Jsoup,org.jsoup.nodes.Document,org.jsoup.integration.ParseTest;org.jsoup.integration.UrlConnectTest;org.jsoup.nodes.DocumentTest;org.jsoup.nodes.ElementTest;org.jsoup.nodes.NodeTest;org.jsoup.nodes.TextNodeTest;org.jsoup.parser.AttributeParseTest;org.jsoup.parser.ParserTest;org.jsoup.safety.CleanerTest;org.jsoup.select.ElementsTest;org.jsoup.select.SelectorTest,org.jsoup.parser.ParserTest::createsStructureFromBodySnippet,org.jsoup.parser.ParserTest,org.jsoup.parser.ParserTest,4,1,1
2,27a52f90a25699bebe23ff1ff94d6db361fdb11d,bb4ead7c350695c1ed3c52d028090da4d4cecd1e,22,https://github.com/jhy/jsoup/issues/22,Jsoup,org.jsoup.parser.Parser,org.jsoup.integration.ParseTest;org.jsoup.nodes.DocumentTest;org.jsoup.nodes.ElementTest;org.jsoup.nodes.NodeTest;org.jsoup.nodes.TextNodeTest;org.jsoup.parser.AttributeParseTest;org.jsoup.parser.ParserTest;org.jsoup.safety.CleanerTest;org.jsoup.select.ElementsTest;org.jsoup.select.SelectorTest,org.jsoup.parser.ParserTest::handlesTextAfterData,org.jsoup.parser.ParserTest,org.jsoup.parser.ParserTest,1,1,1
3,5599adfa2bd30d9784c1eed07b24a31f458f0a58,0081d162cca8ad23b500b53799195fec644f261b,21,https://github.com/jhy/jsoup/issues/21,Jsoup,org.jsoup.nodes.Element;org.jsoup.parser.Parser;org.jsoup.parser.Tag,org.jsoup.integration.ParseTest;org.jsoup.integration.UrlConnectTest;org.jsoup.nodes.DocumentTest;org.jsoup.nodes.ElementTest;org.jsoup.nodes.NodeTest;org.jsoup.nodes.TextNodeTest;org.jsoup.parser.AttributeParseTest;org.jsoup.parser.ParserTest;org.jsoup.parser.TagTest;org.jsoup.safety.CleanerTest;org.jsoup.select.ElementsTest;org.jsoup.select.SelectorTest,org.jsoup.nodes.ElementTest::testAppendRowToTable;org.jsoup.nodes.ElementTest::testPrependRowToTable;org.jsoup.parser.ParserTest::handlesNestedImplicitTable,org.jsoup.nodes.ElementTest;org.jsoup.parser.ParserTest,org.jsoup.nodes.ElementTest;org.jsoup.parser.ParserTest,64,13,3
4,f548940dd8be5f8c93ef17a8896b2807aa2a08bc,5e52f1b266173593fab32fe9d8a4963066b2f2fe,31,https://github.com/jhy/jsoup/issues/31,Jsoup,org.jsoup.nodes.Entities,org.jsoup.integration.ParseTest;org.jsoup.nodes.DocumentTest;org.jsoup.nodes.ElementTest;org.jsoup.nodes.EntitiesTest;org.jsoup.nodes.NodeTest;org.jsoup.nodes.TextNodeTest;org.jsoup.parser.AttributeParseTest;org.jsoup.parser.ParserTest;org.jsoup.safety.CleanerTest;org.jsoup.select.ElementsTest;org.jsoup.select.SelectorTest,org.jsoup.nodes.EntitiesTest::escape;org.jsoup.nodes.EntitiesTest::caseSensitive,org.jsoup.nodes.EntitiesTest,org.jsoup.nodes.EntitiesTest,6,2,1
5,5e52f1b266173593fab32fe9d8a4963066b2f2fe,62afbdf6a85fec75fde38d327928a180bc5bccb3,32,https://github.com/jhy/jsoup/issues/32,Jsoup,org.jsoup.parser.Parser,org.jsoup.integration.ParseTest;org.jsoup.nodes.DocumentTest;org.jsoup.nodes.ElementTest;org.jsoup.nodes.NodeTest;org.jsoup.nodes.TextNodeTest;org.jsoup.parser.AttributeParseTest;org.jsoup.parser.ParserTest;org.jsoup.safety.CleanerTest;org.jsoup.select.ElementsTest;org.jsoup.select.SelectorTest,org.jsoup.parser.ParserTest::parsesQuiteRoughAttributes,org.jsoup.parser.ParserTest,org.jsoup.Jsoup;org.jsoup.parser.Parser;org.jsoup.parser.ParserTest;org.jsoup.parser.TokenQueue,3,1,1
6,0b56f3e5e012e689af8dda0e96d6e0c9f31853b6,20ed24cefb5df53c48021459af98bef83c55f241,34,https://github.com/jhy/jsoup/issues/34,Jsoup,org.jsoup.nodes.Entities,org.jsoup.integration.ParseTest;org.jsoup.nodes.AttributeTest;org.jsoup.nodes.AttributesTest;org.jsoup.nodes.DocumentTest;org.jsoup.nodes.ElementTest;org.jsoup.nodes.EntitiesTest;org.jsoup.nodes.NodeTest;org.jsoup.nodes.TextNodeTest;org.jsoup.parser.AttributeParseTest;org.jsoup.parser.ParserTest;org.jsoup.safety.CleanerTest;org.jsoup.select.ElementsTest;org.jsoup.select.SelectorTest,org.jsoup.integration.ParseTest::testYahooArticle;org.jsoup.nodes.EntitiesTest::quoteReplacements,org.jsoup.integration.ParseTest;org.jsoup.nodes.EntitiesTest,org.jsoup.Jsoup;org.jsoup.helper.DataUtil;org.jsoup.integration.ParseTest;org.jsoup.nodes.Entities;org.jsoup.nodes.EntitiesTest;org.jsoup.nodes.TextNode;org.jsoup.parser.Parser,4,1,1
7,08a3d67273f31718acde383a4c5158bed9c506b2,82855b07f5336d30c70dc20548ab7ab8adeac05e,43,https://github.com/jhy/jsoup/issues/43,Jsoup,org.jsoup.nodes.Document,org.jsoup.integration.ParseTest;org.jsoup.integration.UrlConnectTest;org.jsoup.nodes.AttributeTest;org.jsoup.nodes.AttributesTest;org.jsoup.nodes.DocumentTest;org.jsoup.nodes.ElementTest;org.jsoup.nodes.NodeTest;org.jsoup.nodes.TextNodeTest;org.jsoup.parser.AttributeParseTest;org.jsoup.parser.ParserTest;org.jsoup.safety.CleanerTest;org.jsoup.select.ElementsTest;org.jsoup.select.SelectorTest,org.jsoup.nodes.DocumentTest::testNormalisesStructure,org.jsoup.nodes.DocumentTest,org.jsoup.nodes.DocumentTest,22,3,1
8,82855b07f5336d30c70dc20548ab7ab8adeac05e,da9b977ef99e2595602a964561906a930b4332f3,45,https://github.com/jhy/jsoup/issues/45,Jsoup,org.jsoup.nodes.Node,org.jsoup.integration.ParseTest;org.jsoup.integration.UrlConnectTest;org.jsoup.nodes.AttributeTest;org.jsoup.nodes.AttributesTest;org.jsoup.nodes.DocumentTest;org.jsoup.nodes.ElementTest;org.jsoup.nodes.NodeTest;org.jsoup.nodes.TextNodeTest;org.jsoup.parser.AttributeParseTest;org.jsoup.parser.ParserTest;org.jsoup.safety.CleanerTest;org.jsoup.select.ElementsTest;org.jsoup.select.SelectorTest,org.jsoup.nodes.ElementTest::parentlessToString,org.jsoup.nodes.ElementTest,org.jsoup.nodes.Element;org.jsoup.nodes.ElementTest;org.jsoup.nodes.Node,5,1,1
9,da9b977ef99e2595602a964561906a930b4332f3,2e4969497c5734d90d394103728bb517644f9157,46,https://github.com/jhy/jsoup/issues/46,Jsoup,org.jsoup.nodes.Entities,org.jsoup.integration.ParseTest;org.jsoup.nodes.AttributeTest;org.jsoup.nodes.AttributesTest;org.jsoup.nodes.DocumentTest;org.jsoup.nodes.ElementTest;org.jsoup.nodes.EntitiesTest;org.jsoup.nodes.NodeTest;org.jsoup.nodes.TextNodeTest;org.jsoup.parser.AttributeParseTest;org.jsoup.parser.ParserTest;org.jsoup.safety.CleanerTest;org.jsoup.select.ElementsTest;org.jsoup.select.SelectorTest,org.jsoup.nodes.EntitiesTest::unescape,org.jsoup.nodes.EntitiesTest,org.jsoup.nodes.EntitiesTest,2,1,1
10,9dcc488f3c6afb691e49af42755cfd61b0a69d04,adce18ec3d06b849886d203fe932205f312cc37f,49,https://github.com/jhy/jsoup/issues/49,Jsoup,org.jsoup.nodes.Node,org.jsoup.integration.ParseTest;org.jsoup.integration.UrlConnectTest;org.jsoup.nodes.AttributeTest;org.jsoup.nodes.AttributesTest;org.jsoup.nodes.DocumentTest;org.jsoup.nodes.ElementTest;org.jsoup.nodes.NodeTest;org.jsoup.nodes.TextNodeTest;org.jsoup.parser.AttributeParseTest;org.jsoup.parser.ParserTest;org.jsoup.safety.CleanerTest;org.jsoup.select.ElementsTest;org.jsoup.select.SelectorTest,org.jsoup.nodes.NodeTest::absHandlesRelativeQuery,org.jsoup.nodes.NodeTest,org.jsoup.nodes.NodeTest,2,1,1
