bug_id,method,apfd,num_tests,num_triggering
1,Random,0.375,4,1
1,FailureHistory,0.625,4,1
1,ChangeFrequency,0.875,4,1
1,ComplexityOnly,0.875,4,1
1,Proposed,0.875,4,1
3,Random,0.125,4,1
3,FailureHistory,0.875,4,1
3,ChangeFrequency,0.875,4,1
3,ComplexityOnly,0.875,4,1
3,Proposed,0.875,4,1
4,Random,0.375,4,1
4,FailureHistory,0.125,4,1
4,ChangeFrequency,0.875,4,1
4,ComplexityOnly,0.875,4,1
4,Proposed,0.875,4,1
5,Random,0.5,1,1
5,FailureHistory,0.5,1,1
5,ChangeFrequency,0.5,1,1
5,ComplexityOnly,0.5,1,1
5,Proposed,0.5,1,1
6,Random,0.38888888888888895,9,1
6,FailureHistory,0.7222222222222223,9,1
6,ChangeFrequency,0.9444444444444444,9,1
6,ComplexityOnly,0.9444444444444444,9,1
6,Proposed,0.9444444444444444,9,1
7,Random,0.125,4,1
7,FailureHistory,0.875,4,1
7,ChangeFrequency,0.875,4,1
7,ComplexityOnly,0.875,4,1
7,Proposed,0.875,4,1
8,Random,0.6875,8,2
8,FailureHistory,0.125,8,2
8,ChangeFrequency,0.875,8,2
8,ComplexityOnly,0.875,8,2
8,Proposed,0.875,8,2
9,Random,0.5625,8,2
9,FailureHistory,0.125,8,2
9,ChangeFrequency,0.875,8,2
9,ComplexityOnly,0.875,8,2
9,Proposed,0.75,8,2
10,Random,0.6875,8,2
10,FailureHistory,0.875,8,2
10,ChangeFrequency,0.875,8,2
10,ComplexityOnly,0.875,8,2
10,Proposed,0.875,8,2
11,Random,0.5,1,1
11,FailureHistory,0.5,1,1
11,ChangeFrequency,0.5,1,1
11,ComplexityOnly,0.5,1,1
11,Proposed,0.5,1,1
