bug_id,revision_buggy,revision_fixed,report_id,report_url,project_id,modified_classes,relevant_tests,triggering_tests,triggering_test_classes,trigger_stack_classes,src_patch_total_changed,src_patch_total_hunks,src_patch_total_files
1,396afc3e4693cfee182efe582455f2d97058c068,d1a45e9738de5b3e299bb51e987565dcce55fee6,LANG-747,https://issues.apache.org/jira/browse/LANG-747,Lang,org.apache.commons.lang3.math.NumberUtils,org.apache.commons.lang3.BooleanUtilsTest;org.apache.commons.lang3.math.NumberUtilsTest;org.apache.commons.lang3.reflect.ConstructorUtilsTest;org.apache.commons.lang3.reflect.MethodUtilsTest,org.apache.commons.lang3.math.NumberUtilsTest::TestLang747,org.apache.commons.lang3.math.NumberUtilsTest,org.apache.commons.lang3.math.NumberUtils;org.apache.commons.lang3.math.NumberUtilsTest,13,1,1
3,64cfee77e333d0c31a0fde0abe6dac3d97b0f078,8a1042959df80c06dbfa83896594caa8e20ff9d6,LANG-693,https://issues.apache.org/jira/browse/LANG-693,Lang,org.apache.commons.lang3.math.NumberUtils,org.apache.commons.lang3.BooleanUtilsTest;org.apache.commons.lang3.math.NumberUtilsTest;org.apache.commons.lang3.reflect.ConstructorUtilsTest;org.apache.commons.lang3.reflect.MethodUtilsTest,org.apache.commons.lang3.math.NumberUtilsTest::testStringCreateNumberEnsureNoPrecisionLoss,org.apache.commons.lang3.math.NumberUtilsTest,org.apache.commons.lang3.math.NumberUtilsTest,4,1,1
4,cd91a4f2cd0ced1178e8fd1f49229196eb88094c,0cdc976684efcf478397b68c1d54cefc87bb92c9,LANG-882,https://issues.apache.org/jira/browse/LANG-882,Lang,org.apache.commons.lang3.text.translate.LookupTranslator,org.apache.commons.lang3.StringEscapeUtilsTest;org.apache.commons.lang3.StringUtilsTest;org.apache.commons.lang3.reflect.TypeUtilsTest;org.apache.commons.lang3.text.translate.LookupTranslatorTest,org.apache.commons.lang3.text.translate.LookupTranslatorTest::testLang882,org.apache.commons.lang3.text.translate.LookupTranslatorTest,org.apache.commons.lang3.text.translate.LookupTranslatorTest,8,3,1
5,bc255ccf5c239666ab54e5a31720d3f482ae78eb,4d46f014fb8ee44386feb5fec52509f35d0e36ea,LANG-865,https://issues.apache.org/jira/browse/LANG-865,Lang,org.apache.commons.lang3.LocaleUtils,org.apache.commons.lang3.LocaleUtilsTest,org.apache.commons.lang3.LocaleUtilsTest::testLang865,org.apache.commons.lang3.LocaleUtilsTest,org.apache.commons.lang3.LocaleUtils;org.apache.commons.lang3.LocaleUtilsTest,21,2,1
6,f5a83bb90cf7b318ac72823e6b99d01d060abe41,52bcd9b8e82d4d1d287b0d75df1e161aff8c65ab,LANG-857,https://issues.apache.org/jira/browse/LANG-857,Lang,org.apache.commons.lang3.text.translate.CharSequenceTranslator,org.apache.commons.lang3.StringEscapeUtilsTest;org.apache.commons.lang3.StringUtilsTest;org.apache.commons.lang3.reflect.TypeUtilsTest;org.apache.commons.lang3.text.translate.LookupTranslatorTest;org.apache.commons.lang3.text.translate.NumericEntityEscaperTest;org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest;org.apache.commons.lang3.text.translate.OctalUnescaperTest;org.apache.commons.lang3.text.translate.UnicodeEscaperTest;org.apache.commons.lang3.text.translate.UnicodeUnescaperTest,org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairs,org.apache.commons.lang3.StringUtilsTest,org.apache.commons.lang3.StringEscapeUtils;org.apache.commons.lang3.StringUtilsTest;org.apache.commons.lang3.text.translate.CharSequenceTranslator,2,1,1
7,a7b467a74cbe1160d676dc070a19d19764e132a3,350cf8c2da08ccde6b4d71b19bb3df97256ea368,LANG-822,https://issues.apache.org/jira/browse/LANG-822,Lang,org.apache.commons.lang3.math.NumberUtils,org.apache.commons.lang3.BooleanUtilsTest;org.apache.commons.lang3.math.NumberUtilsTest;org.apache.commons.lang3.reflect.ConstructorUtilsTest;org.apache.commons.lang3.reflect.MethodUtilsTest,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,org.apache.commons.lang3.math.NumberUtilsTest,org.apache.commons.lang3.math.NumberUtilsTest,6,2,1
8,cfab1e4fa19755d65de7b81206d86f9e98622d8e,04babff3798680e012646988841bcc710a9e3c54,LANG-818,https://issues.apache.org/jira/browse/LANG-818,Lang,org.apache.commons.lang3.time.FastDatePrinter,org.apache.commons.lang3.time.DateFormatUtilsTest;org.apache.commons.lang3.time.DateUtilsRoundingTest;org.apache.commons.lang3.time.DateUtilsTest;org.apache.commons.lang3.time.DurationFormatUtilsTest;org.apache.commons.lang3.time.FastDateFormatTest;org.apache.commons.lang3.time.FastDateFormat_ParserTest;org.apache.commons.lang3.time.FastDateFormat_PrinterTest;org.apache.commons.lang3.time.FastDatePrinterTest,org.apache.commons.lang3.time.FastDateFormat_PrinterTest::testCalendarTimezoneRespected;org.apache.commons.lang3.time.FastDatePrinterTest::testCalendarTimezoneRespected,org.apache.commons.lang3.time.FastDateFormat_PrinterTest;org.apache.commons.lang3.time.FastDatePrinterTest,org.apache.commons.lang3.time.FastDatePrinterTest,3,3,1
9,ad72b9f2bf37bd61af18bde67c1622d90a5d8766,65a6458eaa2e1f88278e4bb5753a68bd825e3a80,LANG-832,https://issues.apache.org/jira/browse/LANG-832,Lang,org.apache.commons.lang3.time.FastDateParser,org.apache.commons.lang3.time.DateFormatUtilsTest;org.apache.commons.lang3.time.DateUtilsRoundingTest;org.apache.commons.lang3.time.DateUtilsTest;org.apache.commons.lang3.time.DurationFormatUtilsTest;org.apache.commons.lang3.time.FastDateFormatTest;org.apache.commons.lang3.time.FastDateFormat_ParserTest;org.apache.commons.lang3.time.FastDateFormat_PrinterTest;org.apache.commons.lang3.time.FastDateParserTest,org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_832;org.apache.commons.lang3.time.FastDateParserTest::testLANG_832,org.apache.commons.lang3.time.FastDateFormat_ParserTest;org.apache.commons.lang3.time.FastDateParserTest,org.apache.commons.lang3.time.FastDateParserTest,3,1,1
10,192b1e1b6b96da05cb000b2c89b71467cbfaf245,ad72b9f2bf37bd61af18bde67c1622d90a5d8766,LANG-831,https://issues.apache.org/jira/browse/LANG-831,Lang,org.apache.commons.lang3.time.FastDateParser,org.apache.commons.lang3.time.DateFormatUtilsTest;org.apache.commons.lang3.time.DateUtilsRoundingTest;org.apache.commons.lang3.time.DateUtilsTest;org.apache.commons.lang3.time.DurationFormatUtilsTest;org.apache.commons.lang3.time.FastDateFormatTest;org.apache.commons.lang3.time.FastDateFormat_ParserTest;org.apache.commons.lang3.time.FastDateFormat_PrinterTest;org.apache.commons.lang3.time.FastDateParserTest,org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_831;org.apache.commons.lang3.time.FastDateParserTest::testLANG_831,org.apache.commons.lang3.time.FastDateFormat_ParserTest;org.apache.commons.lang3.time.FastDateParserTest,org.apache.commons.lang3.time.FastDateParserTest,9,1,1
11,27bcbcc728434ffb2c45e81c0e75e6a3d6da3441,4a65cb8da23d6667ac6f91775309b4da9b315d95,LANG-807,https://issues.apache.org/jira/browse/LANG-807,Lang,org.apache.commons.lang3.RandomStringUtils,org.apache.commons.lang3.RandomStringUtilsTest,org.apache.commons.lang3.RandomStringUtilsTest::testLANG807,org.apache.commons.lang3.RandomStringUtilsTest,org.apache.commons.lang3.RandomStringUtilsTest,4,1,1
