bug_id,method,apfd,num_tests,num_triggering
1,Random,0.40476190476190477,21,2
1,FailureHistory,0.6666666666666666,21,2
1,ChangeFrequency,0.761904761904762,21,2
1,ComplexityOnly,0.761904761904762,21,2
1,Proposed,0.761904761904762,21,2
2,Random,0.5,1,1
2,FailureHistory,0.5,1,1
2,ChangeFrequency,0.5,1,1
2,ComplexityOnly,0.5,1,1
2,Proposed,0.5,1,1
3,Random,0.29934210526315785,152,1
3,FailureHistory,0.016447368421052672,152,1
3,ChangeFrequency,0.9967105263157895,152,1
3,ComplexityOnly,0.9967105263157895,152,1
3,Proposed,0.9967105263157895,152,1
4,Random,0.625,4,2
4,FailureHistory,0.375,4,2
4,ChangeFrequency,0.75,4,2
4,ComplexityOnly,0.75,4,2
4,Proposed,0.75,4,2
5,Random,0.24999999999999994,10,1
5,FailureHistory,0.65,10,1
5,ChangeFrequency,0.9500000000000001,10,1
5,ComplexityOnly,0.9500000000000001,10,1
5,Proposed,0.9500000000000001,10,1
6,Random,0.6020408163265306,21,7
6,FailureHistory,0.3503401360544218,21,7
6,ChangeFrequency,0.5340136054421769,21,7
6,ComplexityOnly,0.4931972789115646,21,7
6,Proposed,0.5816326530612245,21,7
7,Random,0.55,30,1
7,FailureHistory,0.5833333333333334,30,1
7,ChangeFrequency,0.9833333333333334,30,1
7,ComplexityOnly,0.9833333333333334,30,1
7,Proposed,0.9833333333333334,30,1
8,Random,0.25,2,1
8,FailureHistory,0.25,2,1
8,ChangeFrequency,0.75,2,1
8,ComplexityOnly,0.75,2,1
8,Proposed,0.75,2,1
9,Random,0.125,4,1
9,FailureHistory,0.625,4,1
9,ChangeFrequency,0.875,4,1
9,ComplexityOnly,0.875,4,1
9,Proposed,0.625,4,1
10,Random,0.27419354838709675,31,1
10,FailureHistory,0.8870967741935484,31,1
10,ChangeFrequency,0.9193548387096774,31,1
10,ComplexityOnly,0.9193548387096774,31,1
10,Proposed,0.8870967741935484,31,1
