bug_id,revision_buggy,revision_fixed,report_id,report_url,project_id,modified_classes,relevant_tests,triggering_tests,triggering_test_classes,trigger_stack_classes,src_patch_total_changed,src_patch_total_hunks,src_patch_total_files
1,d7fd760eb8c5ba8dc7bc30fd565575f2547e0c86,86545dab3ed57872ad98b23e46924d67ddad03fc,MATH-996,https://issues.apache.org/jira/browse/MATH-996,Math,org.apache.commons.math3.fraction.BigFraction;org.apache.commons.math3.fraction.Fraction,org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolatorTest;org.apache.commons.math3.analysis.polynomials.PolynomialsUtilsTest;org.apache.commons.math3.distribution.KolmogorovSmirnovDistributionTest;org.apache.commons.math3.fraction.BigFractionFieldTest;org.apache.commons.math3.fraction.BigFractionFormatTest;org.apache.commons.math3.fraction.BigFractionTest;org.apache.commons.math3.fraction.FractionFieldTest;org.apache.commons.math3.fraction.FractionFormatTest;org.apache.commons.math3.fraction.FractionTest;org.apache.commons.math3.linear.ArrayFieldVectorTest;org.apache.commons.math3.linear.BlockFieldMatrixTest;org.apache.commons.math3.linear.FieldLUDecompositionTest;org.apache.commons.math3.linear.FieldLUSolverTest;org.apache.commons.math3.linear.FieldMatrixImplTest;org.apache.commons.math3.linear.MatrixUtilsTest;org.apache.commons.math3.linear.SparseFieldMatrixTest;org.apache.commons.math3.linear.SparseFieldVectorTest;org.apache.commons.math3.ode.nonstiff.AdamsBashforthIntegratorTest;org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest;org.apache.commons.math3.ode.sampling.NordsieckStepInterpolatorTest;org.apache.commons.math3.util.OpenIntToFieldTest,org.apache.commons.math3.fraction.BigFractionTest::testDigitLimitConstructor;org.apache.commons.math3.fraction.FractionTest::testDigitLimitConstructor,org.apache.commons.math3.fraction.BigFractionTest;org.apache.commons.math3.fraction.FractionTest,org.apache.commons.math3.fraction.BigFraction;org.apache.commons.math3.fraction.BigFractionTest;org.apache.commons.math3.fraction.Fraction;org.apache.commons.math3.fraction.FractionTest,6,2,2
2,6d66a863b5c0049926330ef217accba4e022a1db,f1467e45ab538789090f968f549f88bd0b8c26c7,MATH-1021,https://issues.apache.org/jira/browse/MATH-1021,Math,org.apache.commons.math3.distribution.HypergeometricDistribution,org.apache.commons.math3.distribution.HypergeometricDistributionTest,org.apache.commons.math3.distribution.HypergeometricDistributionTest::testMath1021,org.apache.commons.math3.distribution.HypergeometricDistributionTest,org.apache.commons.math3.distribution.HypergeometricDistributionTest,2,1,1
3,7cdc540aa6dd90cc4479ce44d033f492637cfcf7,91d280b7300b0f601cd76a880c26784a822f96b8,MATH-1005,https://issues.apache.org/jira/browse/MATH-1005,Math,org.apache.commons.math3.util.MathArrays,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest;org.apache.commons.math3.analysis.function.StepFunctionTest;org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegratorTest;org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorTest;org.apache.commons.math3.analysis.integration.gauss.HermiteParametricTest;org.apache.commons.math3.analysis.integration.gauss.HermiteTest;org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionParametricTest;org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionTest;org.apache.commons.math3.analysis.integration.gauss.LegendreParametricTest;org.apache.commons.math3.analysis.integration.gauss.LegendreTest;org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunctionTest;org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatorTest;org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolatorTest;org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolatorTest;org.apache.commons.math3.analysis.interpolation.LinearInterpolatorTest;org.apache.commons.math3.analysis.interpolation.LoessInterpolatorTest;org.apache.commons.math3.analysis.interpolation.NevilleInterpolatorTest;org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest;org.apache.commons.math3.analysis.interpolation.SplineInterpolatorTest;org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunctionTest;org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatorTest;org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolatorTest;org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeFormTest;org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunctionTest;org.apache.commons.math3.analysis.polynomials.PolynomialsUtilsTest;org.apache.commons.math3.complex.QuaternionTest;org.apache.commons.math3.dfp.DfpTest;org.apache.commons.math3.distribution.BinomialDistributionTest;org.apache.commons.math3.distribution.CauchyDistributionTest;org.apache.commons.math3.distribution.ChiSquaredDistributionTest;org.apache.commons.math3.distribution.EnumeratedIntegerDistributionTest;org.apache.commons.math3.distribution.EnumeratedRealDistributionTest;org.apache.commons.math3.distribution.ExponentialDistributionTest;org.apache.commons.math3.distribution.FDistributionTest;org.apache.commons.math3.distribution.GammaDistributionTest;org.apache.commons.math3.distribution.GeometricDistributionTest;org.apache.commons.math3.distribution.HypergeometricDistributionTest;org.apache.commons.math3.distribution.KolmogorovSmirnovDistributionTest;org.apache.commons.math3.distribution.LevyDistributionTest;org.apache.commons.math3.distribution.LogNormalDistributionTest;org.apache.commons.math3.distribution.MultivariateNormalDistributionTest;org.apache.commons.math3.distribution.MultivariateNormalMixtureModelDistributionTest;org.apache.commons.math3.distribution.NormalDistributionTest;org.apache.commons.math3.distribution.ParetoDistributionTest;org.apache.commons.math3.distribution.PascalDistributionTest;org.apache.commons.math3.distribution.PoissonDistributionTest;org.apache.commons.math3.distribution.TDistributionTest;org.apache.commons.math3.distribution.TriangularDistributionTest;org.apache.commons.math3.distribution.UniformIntegerDistributionTest;org.apache.commons.math3.distribution.UniformRealDistributionTest;org.apache.commons.math3.distribution.WeibullDistributionTest;org.apache.commons.math3.distribution.ZipfDistributionTest;org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest;org.apache.commons.math3.exception.NonMonotonicSequenceExceptionTest;org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDSTest;org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest;org.apache.commons.math3.geometry.euclidean.threed.FieldVector3DTest;org.apache.commons.math3.geometry.euclidean.threed.LineTest;org.apache.commons.math3.geometry.euclidean.threed.PlaneTest;org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest;org.apache.commons.math3.geometry.euclidean.threed.RotationTest;org.apache.commons.math3.geometry.euclidean.threed.SubLineTest;org.apache.commons.math3.geometry.euclidean.threed.Vector3DTest;org.apache.commons.math3.linear.ArrayFieldVectorTest;org.apache.commons.math3.linear.ArrayRealVectorTest;org.apache.commons.math3.linear.BlockFieldMatrixTest;org.apache.commons.math3.linear.ConjugateGradientTest;org.apache.commons.math3.linear.FieldLUDecompositionTest;org.apache.commons.math3.linear.FieldLUSolverTest;org.apache.commons.math3.linear.FieldMatrixImplTest;org.apache.commons.math3.linear.MatrixUtilsTest;org.apache.commons.math3.linear.RealVectorTest;org.apache.commons.math3.linear.SparseFieldMatrixTest;org.apache.commons.math3.linear.SparseFieldVectorTest;org.apache.commons.math3.linear.SparseRealVectorTest;org.apache.commons.math3.linear.SymmLQTest;org.apache.commons.math3.ml.clustering.DBSCANClustererTest;org.apache.commons.math3.ml.clustering.FuzzyKMeansClustererTest;org.apache.commons.math3.ml.clustering.KMeansPlusPlusClustererTest;org.apache.commons.math3.ml.clustering.MultiKMeansPlusPlusClustererTest;org.apache.commons.math3.ml.distance.ChebyshevDistanceTest;org.apache.commons.math3.ml.distance.EuclideanDistanceTest;org.apache.commons.math3.ml.distance.ManhattanDistanceTest;org.apache.commons.math3.ode.JacobianMatricesTest;org.apache.commons.math3.ode.nonstiff.AdamsBashforthIntegratorTest;org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest;org.apache.commons.math3.ode.sampling.NordsieckStepInterpolatorTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest;org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest;org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest;org.apache.commons.math3.optim.univariate.BrentOptimizerTest;org.apache.commons.math3.optimization.direct.CMAESOptimizerTest;org.apache.commons.math3.optimization.direct.PowellOptimizerTest;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest;org.apache.commons.math3.optimization.univariate.BrentOptimizerTest;org.apache.commons.math3.stat.CertifiedDataTest;org.apache.commons.math3.stat.StatUtilsTest;org.apache.commons.math3.stat.clustering.DBSCANClustererTest;org.apache.commons.math3.stat.clustering.EuclideanDoublePointTest;org.apache.commons.math3.stat.clustering.EuclideanIntegerPointTest;org.apache.commons.math3.stat.clustering.KMeansPlusPlusClustererTest;org.apache.commons.math3.stat.correlation.CovarianceTest;org.apache.commons.math3.stat.correlation.PearsonsCorrelationTest;org.apache.commons.math3.stat.data.LewTest;org.apache.commons.math3.stat.data.LotteryTest;org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest;org.apache.commons.math3.stat.descriptive.DescriptiveStatisticsTest;org.apache.commons.math3.stat.descriptive.ListUnivariateImplTest;org.apache.commons.math3.stat.descriptive.MixedListUnivariateImplTest;org.apache.commons.math3.stat.descriptive.MultivariateSummaryStatisticsTest;org.apache.commons.math3.stat.descriptive.SummaryStatisticsTest;org.apache.commons.math3.stat.descriptive.SynchronizedDescriptiveStatisticsTest;org.apache.commons.math3.stat.descriptive.SynchronizedMultivariateSummaryStatisticsTest;org.apache.commons.math3.stat.descriptive.SynchronizedSummaryStatisticsTest;org.apache.commons.math3.stat.descriptive.moment.FirstMomentTest;org.apache.commons.math3.stat.descriptive.moment.FourthMomentTest;org.apache.commons.math3.stat.descriptive.moment.GeometricMeanTest;org.apache.commons.math3.stat.descriptive.moment.InteractionTest;org.apache.commons.math3.stat.descriptive.moment.KurtosisTest;org.apache.commons.math3.stat.descriptive.moment.MeanTest;org.apache.commons.math3.stat.descriptive.moment.SecondMomentTest;org.apache.commons.math3.stat.descriptive.moment.SemiVarianceTest;org.apache.commons.math3.stat.descriptive.moment.SkewnessTest;org.apache.commons.math3.stat.descriptive.moment.StandardDeviationTest;org.apache.commons.math3.stat.descriptive.moment.ThirdMomentTest;org.apache.commons.math3.stat.descriptive.moment.VarianceTest;org.apache.commons.math3.stat.descriptive.moment.VectorialMeanTest;org.apache.commons.math3.stat.descriptive.rank.MaxTest;org.apache.commons.math3.stat.descriptive.rank.MedianTest;org.apache.commons.math3.stat.descriptive.rank.MinTest;org.apache.commons.math3.stat.descriptive.rank.PercentileTest;org.apache.commons.math3.stat.descriptive.summary.ProductTest;org.apache.commons.math3.stat.descriptive.summary.SumLogTest;org.apache.commons.math3.stat.descriptive.summary.SumSqTest;org.apache.commons.math3.stat.descriptive.summary.SumTest;org.apache.commons.math3.stat.inference.ChiSquareTestTest;org.apache.commons.math3.stat.inference.GTestTest;org.apache.commons.math3.stat.inference.OneWayAnovaTest;org.apache.commons.math3.stat.inference.TTestTest;org.apache.commons.math3.stat.inference.TestUtilsTest;org.apache.commons.math3.stat.regression.GLSMultipleLinearRegressionTest;org.apache.commons.math3.stat.regression.MillerUpdatingRegressionTest;org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest;org.apache.commons.math3.transform.FastCosineTransformerTest;org.apache.commons.math3.transform.FastFourierTransformerTest;org.apache.commons.math3.transform.FastSineTransformerTest;org.apache.commons.math3.util.Decimal64Test;org.apache.commons.math3.util.MathArraysTest;org.apache.commons.math3.util.MultidimensionalCounterTest;org.apache.commons.math3.util.ResizableDoubleArrayTest,org.apache.commons.math3.util.MathArraysTest::testLinearCombinationWithSingleElementArray,org.apache.commons.math3.util.MathArraysTest,org.apache.commons.math3.util.MathArrays;org.apache.commons.math3.util.MathArraysTest,3,1,1
4,0ee817712b9e8330fdfd6985752aa8f1b25ba9d9,d270055e874148a2742604be36ab977eec030fba,MATH-988,https://issues.apache.org/jira/browse/MATH-988,Math,org.apache.commons.math3.geometry.euclidean.threed.SubLine;org.apache.commons.math3.geometry.euclidean.twod.SubLine,org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest;org.apache.commons.math3.geometry.euclidean.threed.SubLineTest;org.apache.commons.math3.geometry.euclidean.twod.PolygonsSetTest;org.apache.commons.math3.geometry.euclidean.twod.SubLineTest,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest::testIntersectionNotIntersecting;org.apache.commons.math3.geometry.euclidean.twod.SubLineTest::testIntersectionParallel,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest;org.apache.commons.math3.geometry.euclidean.twod.SubLineTest,org.apache.commons.math3.geometry.euclidean.threed.Line;org.apache.commons.math3.geometry.euclidean.threed.SubLine;org.apache.commons.math3.geometry.euclidean.threed.SubLineTest;org.apache.commons.math3.geometry.euclidean.twod.Line;org.apache.commons.math3.geometry.euclidean.twod.SubLine;org.apache.commons.math3.geometry.euclidean.twod.SubLineTest,6,2,2
5,8c2199df0f613c63bd362303c953cee66712d56c,724795b5513651e1e34fae3904d1b58229ce9c17,MATH-934,https://issues.apache.org/jira/browse/MATH-934,Math,org.apache.commons.math3.complex.Complex,org.apache.commons.math3.analysis.solvers.LaguerreSolverTest;org.apache.commons.math3.complex.ComplexFieldTest;org.apache.commons.math3.complex.ComplexFormatTest;org.apache.commons.math3.complex.ComplexTest;org.apache.commons.math3.complex.ComplexUtilsTest;org.apache.commons.math3.complex.FrenchComplexFormatTest;org.apache.commons.math3.linear.EigenDecompositionTest;org.apache.commons.math3.transform.FastCosineTransformerTest;org.apache.commons.math3.transform.FastFourierTransformerTest;org.apache.commons.math3.transform.FastSineTransformerTest,org.apache.commons.math3.complex.ComplexTest::testReciprocalZero,org.apache.commons.math3.complex.ComplexTest,org.apache.commons.math3.complex.ComplexTest,2,1,1
6,4e4e8fad43b1b105395d56d9bae98297d3fefdb1,f83bbc1d68bd457dfccd370afb248126ce031eb6,MATH-949,https://issues.apache.org/jira/browse/MATH-949,Math,org.apache.commons.math3.optim.BaseOptimizer;org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer;org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer;org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer,org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest;org.apache.commons.math3.fitting.CurveFitterTest;org.apache.commons.math3.fitting.GaussianFitterTest;org.apache.commons.math3.fitting.HarmonicFitterTest;org.apache.commons.math3.fitting.PolynomialFitterTest;org.apache.commons.math3.optim.linear.SimplexSolverTest;org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapterTest;org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapterTest;org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest;org.apache.commons.math3.optim.nonlinear.vector.MultiStartMultivariateVectorOptimizerTest;org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest;org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest;org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest;org.apache.commons.math3.optim.univariate.BrentOptimizerTest;org.apache.commons.math3.optim.univariate.MultiStartUnivariateOptimizerTest,org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testTrivial;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testConstrainedRosen;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testElliRotated;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testEllipse;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testTwoAxes;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testCigar;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testRosen;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testRastrigin;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testDiagonalRosen;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testSsDiffPow;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testMaximize;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testAckley;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testCigTab;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testDiffPow;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testSphere;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testTablet;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testCigarWithBoundaries;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest::testSumSinc;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMaximize1;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMaximize2;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMinimize1;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMinimize2;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMaximize1;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMaximize2;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMinimize1;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMinimize2;org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest::testGetIterations;org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testGetIterations,org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest;org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest;org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest,org.apache.commons.math3.RetryRunner$1;org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest;org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizerAbstractTest,30,12,7
7,d18a6b851035818e38637a7b2f60e6f5c6367480,424cbd201ca5969181d68cff99d8b9b77a41cefe,MATH-950,https://issues.apache.org/jira/browse/MATH-950,Math,org.apache.commons.math3.ode.AbstractIntegrator,org.apache.commons.math3.ode.ContinuousOutputModelTest;org.apache.commons.math3.ode.FirstOrderConverterTest;org.apache.commons.math3.ode.JacobianMatricesTest;org.apache.commons.math3.ode.events.EventStateTest;org.apache.commons.math3.ode.events.OverlappingEventsTest;org.apache.commons.math3.ode.events.ReappearingEventTest;org.apache.commons.math3.ode.nonstiff.AdamsBashforthIntegratorTest;org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest;org.apache.commons.math3.ode.nonstiff.ClassicalRungeKuttaIntegratorTest;org.apache.commons.math3.ode.nonstiff.ClassicalRungeKuttaStepInterpolatorTest;org.apache.commons.math3.ode.nonstiff.DormandPrince54IntegratorTest;org.apache.commons.math3.ode.nonstiff.DormandPrince54StepInterpolatorTest;org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest;org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolatorTest;org.apache.commons.math3.ode.nonstiff.EulerIntegratorTest;org.apache.commons.math3.ode.nonstiff.EulerStepInterpolatorTest;org.apache.commons.math3.ode.nonstiff.GillIntegratorTest;org.apache.commons.math3.ode.nonstiff.GillStepInterpolatorTest;org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegratorTest;org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerStepInterpolatorTest;org.apache.commons.math3.ode.nonstiff.HighamHall54IntegratorTest;org.apache.commons.math3.ode.nonstiff.HighamHall54StepInterpolatorTest;org.apache.commons.math3.ode.nonstiff.MidpointIntegratorTest;org.apache.commons.math3.ode.nonstiff.MidpointStepInterpolatorTest;org.apache.commons.math3.ode.nonstiff.ThreeEighthesIntegratorTest;org.apache.commons.math3.ode.nonstiff.ThreeEighthesStepInterpolatorTest;org.apache.commons.math3.ode.sampling.NordsieckStepInterpolatorTest;org.apache.commons.math3.ode.sampling.StepNormalizerOutputOverlapTest;org.apache.commons.math3.ode.sampling.StepNormalizerOutputTest;org.apache.commons.math3.ode.sampling.StepNormalizerTest,org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest::testEventsScheduling,org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest,org.apache.commons.math3.ode.AbstractIntegrator;org.apache.commons.math3.ode.events.EventState;org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest;org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest$SchedulingChecker;org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator,17,2,1
8,f00bd95151792341002bf4e987f403f0124bb323,0d057fc6dc9fac9e16c01e3647c2201281310a6a,MATH-942,https://issues.apache.org/jira/browse/MATH-942,Math,org.apache.commons.math3.distribution.DiscreteDistribution,org.apache.commons.math3.distribution.DiscreteIntegerDistributionTest;org.apache.commons.math3.distribution.DiscreteRealDistributionTest,org.apache.commons.math3.distribution.DiscreteRealDistributionTest::testIssue942,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,org.apache.commons.math3.distribution.DiscreteDistribution;org.apache.commons.math3.distribution.DiscreteRealDistributionTest,4,1,1
9,43a6f15a1af977d6bf950dca17ab248e72ad8e95,73605560b9f0205ac641ec602145756305a41f79,MATH-938,https://issues.apache.org/jira/browse/MATH-938,Math,org.apache.commons.math3.geometry.euclidean.threed.Line,org.apache.commons.math3.geometry.euclidean.threed.LineTest;org.apache.commons.math3.geometry.euclidean.threed.PlaneTest;org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest;org.apache.commons.math3.geometry.euclidean.threed.SubLineTest,org.apache.commons.math3.geometry.euclidean.threed.LineTest::testRevert,org.apache.commons.math3.geometry.euclidean.threed.LineTest,org.apache.commons.math3.geometry.euclidean.threed.LineTest,3,1,1
10,2edd83f5f5009f3ceba55f45d17b351effe65414,48dde3784e22e6cf886521e7ae17a327a461688e,MATH-935,https://issues.apache.org/jira/browse/MATH-935,Math,org.apache.commons.math3.analysis.differentiation.DSCompiler,org.apache.commons.math3.analysis.FunctionUtilsTest;org.apache.commons.math3.analysis.differentiation.DSCompilerTest;org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest;org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiatorTest;org.apache.commons.math3.analysis.differentiation.GradientFunctionTest;org.apache.commons.math3.analysis.differentiation.JacobianFunctionTest;org.apache.commons.math3.analysis.function.GaussianTest;org.apache.commons.math3.analysis.function.HarmonicOscillatorTest;org.apache.commons.math3.analysis.function.LogisticTest;org.apache.commons.math3.analysis.function.LogitTest;org.apache.commons.math3.analysis.function.SigmoidTest;org.apache.commons.math3.analysis.function.SincTest;org.apache.commons.math3.analysis.function.SqrtTest;org.apache.commons.math3.analysis.interpolation.HermiteInterpolatorTest;org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonFormTest;org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolverTest;org.apache.commons.math3.analysis.solvers.BrentSolverTest;org.apache.commons.math3.analysis.solvers.NewtonRaphsonSolverTest;org.apache.commons.math3.analysis.solvers.NewtonSolverTest;org.apache.commons.math3.geometry.euclidean.threed.SphericalCoordinatesTest;org.apache.commons.math3.optimization.MultivariateDifferentiableMultiStartOptimizerTest;org.apache.commons.math3.optimization.MultivariateDifferentiableVectorMultiStartOptimizerTest;org.apache.commons.math3.optimization.fitting.CurveFitterTest;org.apache.commons.math3.optimization.fitting.GaussianFitterTest;org.apache.commons.math3.optimization.fitting.HarmonicFitterTest;org.apache.commons.math3.optimization.fitting.PolynomialFitterTest;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest;org.apache.commons.math3.optimization.general.MinpackTest;org.apache.commons.math3.optimization.general.NonLinearConjugateGradientOptimizerTest;org.apache.commons.math3.util.MathArraysTest,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest::testAtan2SpecialCases,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,1,1,1
