project_id,bug_id,selected_for_pilot,notes
Jsoup,1,yes,Initial pilot set from active Jsoup bugs
Jsoup,2,yes,Initial pilot set from active Jsoup bugs
Jsoup,3,yes,Initial pilot set from active Jsoup bugs
Jsoup,4,yes,Initial pilot set from active Jsoup bugs
Jsoup,5,yes,Initial pilot set from active Jsoup bugs
Jsoup,6,yes,Initial pilot set from active Jsoup bugs
Jsoup,7,yes,Initial pilot set from active Jsoup bugs
Jsoup,8,yes,Initial pilot set from active Jsoup bugs
Jsoup,9,yes,Initial pilot set from active Jsoup bugs
Jsoup,10,yes,Initial pilot set from active Jsoup bugs
