project_id,bug_id,selected_for_pilot,notes
Math,1,yes,Initial pilot set from active Math bugs
Math,2,yes,Initial pilot set from active Math bugs
Math,3,yes,Initial pilot set from active Math bugs
Math,4,yes,Initial pilot set from active Math bugs
Math,5,yes,Initial pilot set from active Math bugs
Math,6,yes,Initial pilot set from active Math bugs
Math,7,yes,Initial pilot set from active Math bugs
Math,8,yes,Initial pilot set from active Math bugs
Math,9,yes,Initial pilot set from active Math bugs
Math,10,yes,Initial pilot set from active Math bugs
