project_id,bug_id,selected_for_pilot,notes
Lang,1,yes,Initial pilot set from active Lang bugs
Lang,3,yes,Initial pilot set from active Lang bugs
Lang,4,yes,Initial pilot set from active Lang bugs
Lang,5,yes,Initial pilot set from active Lang bugs
Lang,6,yes,Initial pilot set from active Lang bugs
Lang,7,yes,Initial pilot set from active Lang bugs
Lang,8,yes,Initial pilot set from active Lang bugs
Lang,9,yes,Initial pilot set from active Lang bugs
Lang,10,yes,Initial pilot set from active Lang bugs
Lang,11,yes,Initial pilot set from active Lang bugs
